AutoKL size: 79.779MB
FM size: 146.007MB
offset model size: 0.0000038147MB
Exp path: ./saved_info/latent_flow/celeba_256/celeb256_f8_adm_ema
epoch 0 iteration0, Loss: 1.7675968408584595, Train Steps/Sec: 0.15
epoch 0 iteration100, Loss: 1.2957524061203003, Train Steps/Sec: 1.12
epoch 0 iteration200, Loss: 1.1153755187988281, Train Steps/Sec: 1.10
Finish sampling
Saving content.
epoch 1 iteration0, Loss: 1.0672848224639893, Train Steps/Sec: 0.92
epoch 1 iteration100, Loss: 0.9993903636932373, Train Steps/Sec: 1.10
epoch 1 iteration200, Loss: 0.919431209564209, Train Steps/Sec: 1.09
epoch 2 iteration0, Loss: 0.8923691511154175, Train Steps/Sec: 1.07
epoch 2 iteration100, Loss: 0.8440645933151245, Train Steps/Sec: 1.09
epoch 2 iteration200, Loss: 0.8196657299995422, Train Steps/Sec: 1.10
epoch 3 iteration0, Loss: 0.824838399887085, Train Steps/Sec: 1.07
epoch 3 iteration100, Loss: 0.8477984070777893, Train Steps/Sec: 1.10
epoch 3 iteration200, Loss: 0.8127895593643188, Train Steps/Sec: 1.10
epoch 4 iteration0, Loss: 0.7794483304023743, Train Steps/Sec: 1.07
epoch 4 iteration100, Loss: 0.7836325764656067, Train Steps/Sec: 1.10
epoch 4 iteration200, Loss: 0.7935144901275635, Train Steps/Sec: 1.10
epoch 5 iteration0, Loss: 0.7808296084403992, Train Steps/Sec: 1.07
epoch 5 iteration100, Loss: 0.7777432799339294, Train Steps/Sec: 1.10
epoch 5 iteration200, Loss: 0.7653759717941284, Train Steps/Sec: 1.10
Finish sampling
epoch 6 iteration0, Loss: 0.7862929701805115, Train Steps/Sec: 1.04
epoch 6 iteration100, Loss: 0.7372233271598816, Train Steps/Sec: 1.10
epoch 6 iteration200, Loss: 0.754316508769989, Train Steps/Sec: 1.10
epoch 7 iteration0, Loss: 0.7271130681037903, Train Steps/Sec: 1.07
epoch 7 iteration100, Loss: 0.771411657333374, Train Steps/Sec: 1.10
epoch 7 iteration200, Loss: 0.7718726396560669, Train Steps/Sec: 1.10
epoch 8 iteration0, Loss: 0.7334721684455872, Train Steps/Sec: 1.07
epoch 8 iteration100, Loss: 0.7188047766685486, Train Steps/Sec: 1.10
epoch 8 iteration200, Loss: 0.7509949803352356, Train Steps/Sec: 1.10
epoch 9 iteration0, Loss: 0.7418245673179626, Train Steps/Sec: 1.07
epoch 9 iteration100, Loss: 0.7086856365203857, Train Steps/Sec: 1.10
epoch 9 iteration200, Loss: 0.7585484981536865, Train Steps/Sec: 1.09
epoch 10 iteration0, Loss: 0.7324684858322144, Train Steps/Sec: 1.06
epoch 10 iteration100, Loss: 0.719030499458313, Train Steps/Sec: 1.10
epoch 10 iteration200, Loss: 0.7502872347831726, Train Steps/Sec: 1.10
Finish sampling
Saving content.
epoch 11 iteration0, Loss: 0.7347171306610107, Train Steps/Sec: 0.95
epoch 11 iteration100, Loss: 0.7332779169082642, Train Steps/Sec: 1.10
epoch 11 iteration200, Loss: 0.7341874241828918, Train Steps/Sec: 1.10
epoch 12 iteration0, Loss: 0.718374490737915, Train Steps/Sec: 1.07
epoch 12 iteration100, Loss: 0.7219088077545166, Train Steps/Sec: 1.10
epoch 12 iteration200, Loss: 0.7382394075393677, Train Steps/Sec: 1.10
epoch 13 iteration0, Loss: 0.7107037305831909, Train Steps/Sec: 1.07
epoch 13 iteration100, Loss: 0.7375651001930237, Train Steps/Sec: 1.10
epoch 13 iteration200, Loss: 0.7102941870689392, Train Steps/Sec: 1.10
epoch 14 iteration0, Loss: 0.745456337928772, Train Steps/Sec: 1.06
epoch 14 iteration100, Loss: 0.6994569301605225, Train Steps/Sec: 1.10
epoch 14 iteration200, Loss: 0.715255618095398, Train Steps/Sec: 1.10
epoch 15 iteration0, Loss: 0.7095325589179993, Train Steps/Sec: 1.07
epoch 15 iteration100, Loss: 0.7367351055145264, Train Steps/Sec: 1.10
epoch 15 iteration200, Loss: 0.7276146411895752, Train Steps/Sec: 1.10
Finish sampling
epoch 16 iteration0, Loss: 0.7254739999771118, Train Steps/Sec: 1.03
epoch 16 iteration100, Loss: 0.7289877533912659, Train Steps/Sec: 1.10
epoch 16 iteration200, Loss: 0.7416015267372131, Train Steps/Sec: 1.10
epoch 17 iteration0, Loss: 0.7218505144119263, Train Steps/Sec: 1.07
epoch 17 iteration100, Loss: 0.7412294745445251, Train Steps/Sec: 1.10
